"no","issn","issn2","title","title_main","comments","database","Scopus","WoS","CA","PubMed","Springer","GeoRef","MathSciNet","zbMATH"
307,"0040-6015","1555-6301","Thermal Engineering (рус. Теплоэнергетика)","Thermal Engineering","(рус. Теплоэнергетика)","CA(pt), Scopus, Springer","да","","да","","да","","",""
308,"0869-8643","1531-8699","Thermophysics and Aeromechanics (рус. Теплофизика и аэромеханика)","Thermophysics and Aeromechanics","(рус. Теплофизика и аэромеханика)","Scopus, Springer, WoS(SCIE)","да","да","","","да","","",""
309,"2520-2073","2521-442X","Training, Language and Culture","Training, Language and Culture",NA,"Scopus","да","","","","","","",""
310,"0077-1554","1547-738X","Transactions of the Moscow Mathematical Society (рус. Труды  Московского математического общества)","Transactions of the Moscow Mathematical Society","(рус. Труды Московского математического общества)","MathScieNet, Scopus,  zbMATH","да","","","","","","да","да"
311,"1560-7259","1560-7267","Turczaninowia","Turczaninowia",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
312,"2414-3952","","Ural Mathematical Journal","Ural Mathematical Journal",NA,"MathScieNet, Scopus,  zbMATH","да","","","","","","да","да"
313,"1063-4541","1934-7855","Vestnik St. Petersburg University. Mathematics (рус. Вестник Санкт-Петербургского университета. Серия 1. Математика, механика, астрономия)","Vestnik St. Petersburg University. Mathematics","(рус. Вестник Санкт-Петербургского университета. Серия 1. Математика, механика, астрономия)","MathScieNet, Scopus, Springer, WoS(ESCI), zbMATH","да","да","","","да","","да","да"
314,"0097-8078","1608-344X","Water Resources (USA, рус. Водные ресурсы + присоед. Геоэкология. Инженерная геология. Гидрогеология. Геокриология)","Water Resources","(USA, рус. Водные ресурсы + присоед. Геоэкология. Инженерная геология. Гидрогеология. Геокриология)","CA(core), GeoRef, Scopus, Springer, WoS(SCIE)","да","да","да","","да","да","",""
315,"2307-1605","2686-8016","World of Media","World of Media",NA,"Scopus","да","","","","","","",""
316,"0320-9180","2410-0226","Zoosystematica Rossica","Zoosystematica Rossica",NA,"Scopus","да","","","","","","",""
317,"0233-528X","","Авиакосмическая и экологическая медицина / (*англ. присоед. к Human Physiology)","Авиакосмическая и экологическая медицина /","(*англ. присоед. к Human Physiology)","PubMed (р), Scopus (р, а)  Springer (а)","да","","","да","да","","",""
318,"0869-530X","","Авиационная промышленность","Авиационная промышленность",NA,"CA(pt)","","","да","","","","",""
319,"1819-5962","","Автоматизация в промышленности (*англ. присоед. к  Automation and Remote Control)","Автоматизация в промышленности","(*англ. присоед. к Automation and Remote Control)","MathSciNet, Scopus (а), Springer (а), WoS (а),  zbMATH (a)","да","да","","","да","","да","да"
320,"0132-2222","","Автоматизация, телемеханизация и связь в нефтяной промышленности","Автоматизация, телемеханизация и связь в нефтяной промышленности",NA,"CA(pt)","","","да","","","","",""
321,"0005-2310","","Автоматика и телемеханика (*англ. Automation and Remote Control)","Автоматика и телемеханика","(*англ. Automation and Remote Control)","MathSciNet, Scopus (a), Springer (а), WoS (а),  zbMATH (а)","да","да","","","да","","да","да"
322,"0320-7102","","Автометрия (*англ. Optoelectronics, Instrumentation and Data Processing)","Автометрия","(*англ. Optoelectronics, Instrumentation and Data Processing)","Scopus (a), Springer (а), WoS(ESCI) (a)","да","да","","","да","","",""
323,"0005-2337","","Автомобильная промышленность","Автомобильная промышленность",NA,"CA(pt)","","","да","","","","",""
324,"1999-5636","","Аграрная Россия","Аграрная Россия",NA,"CA(pt)","","","да","","","","",""
325,"1029-2551","","Агрохимический вестник","Агрохимический вестник",NA,"CA(pt)","","","да","","","","",""
326,"0002-1881","","Агрохимия /Agrokhimiya","Агрохимия /Agrokhimiya",NA,"CA(pt)","","","да","","","","",""
327,"2312-2129","","Актуальные проблемы теории и истории искусства / Actual Problems of Theory and History of Art","Актуальные проблемы теории и истории искусства / Actual Problems of Theory and History of Art",NA,"Scopus","да","","","","","","",""
328,"0320-7919","","Акустический журнал (*англ. Acoustical Physics)","Акустический журнал","(*англ. Acoustical Physics)","Scopus (а), Springer (а), WoS(SCIE) (а)","да","да","","","да","","",""
329,"0300-9092","2412-5679","Акушерство и гинекология / Akusherstvo i Ginekologiya","Акушерство и гинекология / Akusherstvo i Ginekologiya",NA,"Scopus","да","","","","","","",""
330,"2313-7347","2500-3194","Акушерство, гинекология и репродукция / Obstetrics, Gynecology and Reproduction","Акушерство, гинекология и репродукция / Obstetrics, Gynecology and Reproduction",NA,"Scopus","да","","","","","","",""
331,"0234-0852","","Алгебра и анализ (*англ. St Petersburg Mathematical Journal )","Алгебра и анализ","(*англ. St Petersburg Mathematical Journal )","MathSciNet, Scopus (а), WoS(SCIE) (а), zbMATH (а)","да","да","","","","","да","да"
332,"0373-9252","","Алгебра и логика (*англ. Algebra and Logic )","Алгебра и логика","(*англ. Algebra and Logic )","MathSciNet, Scopus (a), Springer (а), WoS(SCIE) (а), zbMATH (a)","да","да","","","да","","да","да"
333,"1608-8298","","Альтернативная энергетика и экология / Al'ternativnaya Energetika I Ekologiya (*** част. пер. в International Journal of Hydrogen Energy; Solar Energy)","Альтернативная энергетика и экология / Al'ternativnaya Energetika I Ekologiya","(*** част. пер. в International Journal of Hydrogen Energy; Solar Energy)","CA(pt) (р), Scopus (а), WoS(SCIE) (а)","да","да","да","","","","",""
334,"2542-2308","2308-1163","Анализ риска здоровью / Health Risk Analysis","Анализ риска здоровью / Health Risk Analysis",NA,"Scopus","да","","","","","","",""
335,"2073-1442","2073-1450","Аналитика и контроль / Analitika i Kontrol","Аналитика и контроль / Analitika i Kontrol",NA,"Scopus","да","","","","","","",""
336,"1027-6661","","Ангиология и сосудистая хирургия / Angiologiia i sosudistaia khirurgiia = Angiology and vascular surgery","Ангиология и сосудистая хирургия / Angiologiia i sosudistaia khirurgiia = Angiology and vascular surgery",NA,"PubMed, Scopus","да","","","да","","","",""
337,"2070-9781","2412-8902","Андрология и генитальная хирургия / Andrologia i Genitalʹnaa Hirurgia","Андрология и генитальная хирургия / Andrologia i Genitalʹnaa Hirurgia",NA,"Scopus","да","","","","","","",""
338,"0201-7563","2410-4698","Анестезиология и реаниматология (Anesteziologiya i Reanimatologiya / Russian Journal of Anеsthesiology and Reanimatology)","Анестезиология и реаниматология","(Anesteziologiya i Reanimatologiya / Russian Journal of Anеsthesiology and Reanimatology)","Scopus","да","","","","","","",""
339,"2075-5473","2409-2533","Анналы клинической и экспериментальной неврологии / Annals of Clinical and Experimental Neurology","Анналы клинической и экспериментальной неврологии / Annals of Clinical and Experimental Neurology",NA,"Scopus","да","","","","","","",""
340,"1995-5464","2408-9524","Анналы хирургической гепатологии / Annals of HPB Surgery","Анналы хирургической гепатологии / Annals of HPB Surgery",NA,"Scopus","да","","","","","","",""
341,"0235-2990","","Антибиотики и химиотерапия / Antibiotiki I khimioterapiya","Антибиотики и химиотерапия / Antibiotiki I khimioterapiya",NA,"CA(core), PubMed, Scopus,","да","","да","да","","","",""
342,"0320-4472","2687-0398","Античная древность и средние века / Antichnaya Drevnost' i Srednie Veka","Античная древность и средние века / Antichnaya Drevnost' i Srednie Veka",NA,"Scopus","да","","","","","","",""
343,"1993-3916","","Аридные экосистемы* (англ. Arid Ecosystems)","Аридные экосистемы*","(англ. Arid Ecosystems)","Scopus (a), Springer (а), WoS(ESCI)  (а)","да","да","","","да","","",""
344,"2223-4594","","Арктика: экология и экономика / Arktika. Ekologia i Ekonomika","Арктика: экология и экономика / Arktika. Ekologia i Ekonomika",NA,"Scopus","да","","","","","","",""
345,"1607-419X","2411-8524","Артериальная гипертензия / Arterial Hypertension","Артериальная гипертензия / Arterial Hypertension",NA,"Scopus","да","","","","","","",""
346,"1563-0102","","Археология, этнография и антропология Евразии (*англ. Archaeology, Ethnology and Anthropology of Eurasia)","Археология, этнография и антропология Евразии","(*англ. Archaeology, Ethnology and Anthropology of Eurasia)","GeoRef, Scopus (a), Springer (а), WoS(ESCI)  (а)","да","да","","","да","да","",""
347,"0004-1955","2309-1266","Архив патологии / Arkhiv Patologii","Архив патологии / Arkhiv Patologii",NA,"PubMed, Scopus,","да","","","да","","","",""
348,"2226-6704","2411-6564","Архивъ внутренней медицины / Russian Archive of Internal Medicine","Архивъ внутренней медицины / Russian Archive of Internal Medicine",NA,"Scopus","да","","","","","","",""
349,"0320-930X","","Астрономический вестник (*анл. Solar System Research)","Астрономический вестник","(*анл. Solar System Research)","Scopus (а, WoS(SCIE) (а)","да","да","","","","","",""
350,"0004-6299","","Астрономический журнал (*англ. Astronomy Reports)","Астрономический журнал","(*англ. Astronomy Reports)","CA(pt) (а), MathSciNet, Scopus (а), WoS(SCIE) (а)","да","да","да","","","","да",""
351,"0320-9318","1990-3391","Астрофизический бюллетень (*англ. Astrophysical Bulletin)","Астрофизический бюллетень","(*англ. Astrophysical Bulletin)","Scopus (а), Springer (а), WoS(SCIE) (а)","да","да","","","да","","",""
352,"0004-7163","","Атомная энергия (*англ. Atomic Energy)","Атомная энергия","(*англ. Atomic Energy)","Scopus (а), Springer (а), WoS(SCIE) (а)","да","да","","","да","","",""
353,"2074-9848","2310-0532","Балтийский регион (*англ. Baltic Region)","Балтийский регион","(*англ. Baltic Region)","Scopus (a), WoS(ESCI) (а)","да","да","","","","","",""
354,"0869-8406","","Башкирский химический журнал / Bashkirskii khimicheskii zhurnal","Башкирский химический журнал / Bashkirskii khimicheskii zhurnal",NA,"CA(pt)","","","да","","","","",""
355,"1684-6435","","Безопасность жизнедеятельности / BEZOPASNOST ZHIZNEDEYATEL'NOSTI","Безопасность жизнедеятельности / BEZOPASNOST ZHIZNEDEYATEL'NOSTI",NA,"CA(pt)","","","да","","","","",""
356,"2619-1164","","Безопасность и риск фармакотерапии / Safety and Risk of Pharmacotherapy","Безопасность и риск фармакотерапии / Safety and Risk of Pharmacotherapy",NA,"CA(pt)","","","да","","","","",""
357,"0409-2961","2658-5537","Безопасность труда в промышленности","Безопасность труда в промышленности",NA,"Scopus","да","","","","","","",""
358,"1998-0663","2587-  8166","Бизнес-информатика /BIZNES INFORMATIKA- BUSINESS INFORMATICS","Бизнес-информатика /BIZNES INFORMATIKA- BUSINESS INFORMATICS",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
359,"0233-4755","","Биологические мембраны / Biologicheskie Membrany (*англ. Biochemistry (Moscow) Supplement Series A. Membrane and Cell Biology) .","Биологические мембраны / Biologicheskie Membrany","(*англ. Biochemistry (Moscow)","CA(core) (р), PubMed (р), Scopus (р., а), Springer (а), WoS (р), WoS(SCIE) (р), WoS(ESCI) (а)","да","да","да","да","да","","",""
360,"0320-9652","","Биология внутренних вод (*англ. Inland Water Biology)","Биология внутренних вод","(*англ. Inland Water Biology)","Scopus (a), Springer (а), WoS (a)","да","да","","","да","","",""
361,"0134-3475","","Биология моря (*англ. Russian Journal of Marine Biology)","Биология моря","(*англ. Russian Journal of Marine Biology)","CA(pt) (а), Scopus (a), Springer (а), WoS (а)","да","да","да","","да","","",""
362,"2310-6972","2310-6905","Биомедицинская химия / Biomeditsinskaya Khimiya (* англ. Biochemistry (Moscow) Supplement Series B. Biomedical Chemistry)","Биомедицинская химия / Biomeditsinskaya Khimiya","(* англ. Biochemistry (Moscow)","CA(core) (р), PubMed, Scopus (англ, рус), Springer, WoS(BIOSIS, рус), WoS(ESCI)  (а)","да","да","да","да","да","","",""
363,"0132-3423","1998-2860","Биоорганическая химия (*англ. Russian Journal of Bioorganic Chemistry)","Биоорганическая химия","(*англ. Russian Journal of Bioorganic Chemistry)","CA(core) (a), PubMed (а), Scopus (a), WoS (а)","да","да","да","да","","","",""
364,"2619-1156","","БИОпрепараты. Профилактика, диагностика, лечение / BIOpreparations: Prevention, Diagnisis, Treatment","БИОпрепараты. Профилактика, диагностика, лечение / BIOpreparations: Prevention, Diagnisis, Treatment",NA,"CA(pt)","","","да","","","","",""
365,"0234-2758","2500-2341","Биотехнология / Biotekhnologiya (***англ. присоед. к  Applied Biochemistry and Microbiology)","Биотехнология / Biotekhnologiya","(***англ. присоед. к Applied Biochemistry and Microbiology)","CA(core) (а), Scopus (р, а), Springer (а), WoS (а)","да","да","да","","да","","",""
366,"2073-8099","","Биофармацевтический журнал / Biofarmatsevticheskii Zhurnal / Russian Journal of Biopharmaceuticals","Биофармацевтический журнал / Biofarmatsevticheskii Zhurnal / Russian Journal of Biopharmaceuticals",NA,"CA(pt), Scopus","да","","да","","","","",""
367,"0006-3029","","Биофизика (*англ. Biophysics)","Биофизика","(*англ. Biophysics)","CA(core - а),PubMed (а), Scopus (а), Springer (а), WoS (а),","да","да","да","да","да","","",""
368,"0320-9725","","Биохимия (*англ. Biochemistry (Moscow))","Биохимия","(*англ. Biochemistry (Moscow)","CA(core - а), Scopus (a), Springer (а), WoS (а)","да","да","да","","да","","",""
369,"0006-8136","","Ботанический журнал / Botanicheskii Zhurnal","Ботанический журнал / Botanicheskii Zhurnal",NA,"Scopus","да","","","","","","",""
370,"2073-9745","2310-0028","Былые годы / Bylye Gody","Былые годы / Bylye Gody",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
371,"1682-0363","1819-3684","Бюллетень сибирской медицины / Bulletin of Siberian Medicine/ Byulleten Sibirskoy Meditsiny","Бюллетень сибирской медицины / Bulletin of Siberian Medicine/ Byulleten Sibirskoy Meditsiny",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
372,"0365-9615","","Бюллетень экспериментальной биологии и медицины (*англ. сост.  Bulletin of Experimental Biology and Medicine)","Бюллетень экспериментальной биологии и медицины","(*англ. сост. Bulletin of Experimental Biology and Medicine)","Scopus (a), Springer (а), WoS (а)","да","да","","","да","","",""
373,"2500-0462","2500-3259","Вавиловский журнал генетики и селекции / VAVILOVSKII ZHURNAL GENETIKI I SELEKTSII","Вавиловский журнал генетики и селекции / VAVILOVSKII ZHURNAL GENETIKI I SELEKTSII",NA,"Scopus, WoS(ESCI),","да","да","","","","","",""
374,"2619-1172","","Ведомости Научного центра экспертизы средств медицинского применения / The Bulletin of the Scientific Centre for Expert Evaluation of Medicinal Products","Ведомости Научного центра экспертизы средств медицинского применения / The Bulletin of the Scientific Centre for Expert Evaluation of Medicinal Products",NA,"CA(pt)","","","да","","","","",""
375,"2078-5658","2541-8653","Вестник анестезиологии и реанимотологии / Messenger of Anesthesiology and Resuscitation","Вестник анестезиологии и реанимотологии / Messenger of Anesthesiology and Resuscitation",NA,"Scopus","да","","","","","","",""
376,"1561-8641","2658-7327","Вестник аритмологии / Journal of Arrhythmology","Вестник аритмологии / Journal of Arrhythmology",NA,"Scopus","да","","","","","","",""
377,"1811-7465","2071-0437","Вестник археологии, антропологии и этнографии / Vestnik Archeologii, Antropologii i Etnografii","Вестник археологии, антропологии и этнографии / Vestnik Archeologii, Antropologii i Etnografii",NA,"Scopus","да","","","","","","",""
378,"2073-0101","","Вестник архивиста / HERALD OF AN ARCHIVIST","Вестник архивиста / HERALD OF AN ARCHIVIST",NA,"WoS(ESCI)","","да","","","","","",""
379,"1998-9911","2409-1979","Вестник Волгоградского государственного университета. Серия 2. Языкознание / VESTNIK VOLGOGRADSKOGO GOSUDARSTVENNOGO UNIVERSITETA-SERIYA 2-YAZYKOZNANIE","Вестник Волгоградского государственного университета. Серия 2. Языкознание / VESTNIK VOLGOGRADSKOGO GOSUDARSTVENNOGO UNIVERSITETA-SERIYA 2-YAZYKOZNANIE",NA,"WoS(ESCI)","","да","","","","","",""
380,"1998-9938","2312-8704","Вестник Волгоградского государственного университета. Серия 4. История, регионоведение, международные отношения / Vestnik Volgogradskogo Gosudarstvennogo Universiteta. Seriia 4. Istoriia. Regionovedenie. Mezhdunarodnye Otnosheniia / VOLGOGRADSKII GOSUDARSTVENNYI UNIVERSITET-VESTNIK- SERIYA 4-ISTORIYA REGIONOVEDENIE MEZHDUNARODNYE OTNOSHENIYA","Вестник Волгоградского государственного университета. Серия 4. История, регионоведение, международные отношения / Vestnik Volgogradskogo Gosudarstvennogo Universiteta. Seriia 4. Istoriia. Regionovedenie. Mezhdunarodnye Otnosheniia / VOLGOGRADSKII GOSUDARSTVENNYI UNIVERSITET-VESTNIK- SERIYA 4-ISTORIYA REGIONOVEDENIE MEZHDUNARODNYE OTNOSHENIYA",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
381,"1609-0691","","Вестник Воронежского государственного университета. Серия Геология / Vestnik Voronezhskogo Gosudarstvennogo Universiteta. Seriya: Geologiya","Вестник Воронежского государственного университета. Серия Геология / Vestnik Voronezhskogo Gosudarstvennogo Universiteta. Seriya: Geologiya",NA,"GeoRef","","","","","","да","",""
382,"1609-0705","","Вестник Воронежского государственного университета. Серия Физика, Математика / Proceedings of Voronezh State University. Series Physics, Mathematics","Вестник Воронежского государственного университета. Серия Физика, Математика / Proceedings of Voronezh State University. Series Physics, Mathematics",NA,"Scopus","да","","","","","","",""
383,"0321-0391","","Вестник древней истории / VESTNIK DREVNEI ISTORII-JOURNAL OF ANCIENT HISTORY","Вестник древней истории / VESTNIK DREVNEI ISTORII-JOURNAL OF ANCIENT HISTORY",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
384,"2712-7761","","Вестник геонаук (до 2019 г. Вестник Института геологии Коми Научного Центра Уральского отделения Российской академии наук","Вестник геонаук",NA,"GeoRef","","","","","","да","",""
385,"1997-7670","2541-8785","Вестник Иркутского государственного университета. Серия Математика / Bulletin of Irkutsk State University. Series Mathematics","Вестник Иркутского государственного университета. Серия Математика / Bulletin of Irkutsk State University. Series Mathematics",NA,"Scopus","да","","","","","","",""
386,"1998-7072","","Вестник Казанского технологического университета /  Vestnik Kazanskogo Tekhnologicheskogo Universiteta","Вестник Казанского технологического университета / Vestnik Kazanskogo Tekhnologicheskogo Universiteta",NA,"CA(pt)","","","да","","","","",""
387,"2079-6641","2079-665X","Вестник КРАУНЦ. Физико-математические науки / Vestnik KRAUNTS. Fiziko-Matematicheskie Nauki","Вестник КРАУНЦ. Физико-математические науки / Vestnik KRAUNTS. Fiziko-Matematicheskie Nauki",NA,"MathSciNet, zbMATH","","","","","","","да","да"
388,"0042-4633","","Вестник машиностроения / Vestnik mashinostroeniya (***англ. сост.  Russian Engineering Research)","Вестник машиностроения / Vestnik mashinostroeniya","(***англ. сост. Russian Engineering Research)","CA(pt) (р), Scopus (a), Springer (а)","да","","да","","да","","",""
389,"2071-8160","2541–9099","Вестник МГИМО Университета / MGIMO Review of International Relations","Вестник МГИМО Университета / MGIMO Review of International Relations",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
390,"1606-4313","","Вестник Международной академии холода","Вестник Международной академии холода",NA,"CA(pt)","","","да","","","","",""
391,"1996-7845","","Вестник международных организаций /International Organisations Research Journal / VESTNIK MEZHDUNARODNYKH ORGANIZATSII-INTERNATIONAL ORGANISATIONS RESEARCH JOURNAL","Вестник международных организаций /International Organisations Research Journal / VESTNIK MEZHDUNARODNYKH ORGANIZATSII-INTERNATIONAL ORGANISATIONS RESEARCH JOURNAL",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
392,"0236-2910","2313-0636","Вестник Мордовского университета / MORDOVIA UNIVERSITY BULLETIN","Вестник Мордовского университета / MORDOVIA UNIVERSITY BULLETIN",NA,"WoS(ESCI)","","да","","","","","",""
393,"1812-3368","","Вестник Московского государственного технического университета им. Н.Э. Баумана. Серия: Естественные науки / Herald of the Bauman Moscow State Technical University. Series Natural Sciences","Вестник Московского государственного технического университета им. Н.Э. Баумана. Серия: Естественные науки / Herald of the Bauman Moscow State Technical University. Series Natural Sciences",NA,"Scopus","да","","","","","","",""
394,"0236-3941","","Вестник Московского государственного технического университета им. Н.Э. Баумана. Серия: Машиностроение","Вестник Московского государственного технического университета им. Н.Э. Баумана. Серия: Машиностроение",NA,"CA(pt)","","","да","","","","",""
395,"0579-9368","","Вестник Московского университета. Серия 1. Математика. Механика (*англ. Moscow University Mathematics Bulletin;  Moscow University Mechanics Bulletin)","Вестник Московского университета. Серия 1. Математика. Механика","(*англ. Moscow University Mathematics Bulletin; Moscow University Mechanics Bulletin)","Scopus (a), Springer (а), WoS(ESCI)  (а)","да","да","","","да","","",""
396,"0320-8079","2658-3526","Вестник Московского университета. Серия 10. Журналистика / Vestnik Moskovskogo Universiteta. Seriya 10. Zhurnalistika","Вестник Московского университета. Серия 10. Журналистика / Vestnik Moskovskogo Universiteta. Seriya 10. Zhurnalistika",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
397,"0137-0782","","Вестник Московского университета. Серия 15. Вычислительная математика и кибернетика* (англ. Moscow University Computational Mathematics and Cybernetics)","Вестник Московского университета. Серия 15. Вычислительная математика и кибернетика*","(англ. Moscow University Computational Mathematics and Cybernetics)","MathSciNet, Springer (а), zbMATH","","","","","да","","да","да"
398,"0137-0952","","Вестник Московского университета. Серия 16. Биология (* англ. Moscow University Biological Sciences Bulletin)","Вестник Московского университета. Серия 16. Биология","(* англ. Moscow University Biological Sciences Bulletin)","Scopus (a), Springer (a)","да","","","","да","","",""
399,"0137-0944","1934-7928","Вестник Московского университета. Серия 17. Почвоведение (*англ. Moscow University Soil Science Bulletin)","Вестник Московского университета. Серия 17. Почвоведение","(*англ. Moscow University Soil Science Bulletin)","Springer (а)","","","","","да","","",""
400,"0579-9384","1728-2101","Вестник Московского университета. Серия 2. Химия / Vestnik Moskovskogo Universiteta, Seriya 2: Khimiya (*англ. Moscow University Chemistry Bulletin)","Вестник Московского университета. Серия 2. Химия / Vestnik Moskovskogo Universiteta, Seriya 2: Khimiya","(*англ. Moscow University Chemistry Bulletin)","CA(core) (р), Scopus (a), Springer (а), WoS(ESCI)  (а)","да","да","да","","да","","",""
401,"0579-9392","","Вестник Московского университета. Серия 3. Физика и астрономия / VESTNIK MOSKOVSKOGO UNIVERSITETA SERIYA 3 FIZIKA ASTRONOMIYA  (*англ. Moscow University Physics Bulletin)","Вестник Московского университета. Серия 3. Физика и астрономия / VESTNIK MOSKOVSKOGO UNIVERSITETA SERIYA 3 FIZIKA ASTRONOMIYA","(*англ. Moscow University Physics Bulletin)","CA(pt) (р), Scopus (a), Springer (а), WoS(SCIE) (а)","да","да","да","","да","","",""
402,"0579-9406","","Вестник Московского университета. Серия 4. Геология  (англ. MOSCOW UNIVERSITY GEOLOGY BULLETIN)","Вестник Московского университета. Серия 4. Геология","(англ. MOSCOW UNIVERSITY GEOLOGY BULLETIN)","GeoRef, Scopus (a), Springer (а), WoS(ESCI)  (а)","да","да","","","да","да","",""
403,"0579-9414","","Вестник Московского университета. Серия 5. География / Vestnik Moskovskogo Unviersiteta, Seriya Geografiya","Вестник Московского университета. Серия 5. География / Vestnik Moskovskogo Unviersiteta, Seriya Geografiya",NA,"Scopus","да","","","","","","",""
404,"1560-9278","1997-4736","Вестник Мурманского государственного технического университета (Вестник МГТУ) / Vestnik Murmanskogo Gosudarstvennogo Tekhnicheskogo Universiteta","Вестник Мурманского государственного технического университета","(Вестник МГТУ)","GeoRef","","","","","","да","",""
405,NA,"2226-3365","Вестник Новосибирского государственного педагогического университета (Вестник НГПУ) / Novosibirsk State Pedagogical University Bulletin (c 2018 см. Science for Education Today)","Вестник Новосибирского государственного педагогического университета","(Вестник НГПУ)","Scopus","да","","","","","","",""
406,"1818-7919","","Вестник Новосибирского государственного университета. Серия История. Филология / Vestnik Novosibirskogo Gosudarstvennogo Universiteta. Seriya: Istoriya, Filologiya","Вестник Новосибирского государственного университета. Серия История. Филология / Vestnik Novosibirskogo Gosudarstvennogo Universiteta. Seriya: Istoriya, Filologiya",NA,"Scopus","да","","","","","","",""
407,"2075-6941","2311-3367","Вестник НПО им. С.А. Лавочкина (***англ. присоед. в Solar System Research)","Вестник НПО им. С.А. Лавочкина","(***англ. присоед. в Solar System Research)","CA(pt) (а), Scopus (a), Springer (а), WoS(SCIE) (а)","да","да","да","","да","","",""
408,"0042-4668","2309-1274","Вестник оториноларингологии / Vestnik Otorinolaringologii","Вестник оториноларингологии / Vestnik Otorinolaringologii",NA,"PubMed,  Scopus,","да","","","да","","","",""
409,"0042-465X","2309-1282","Вестник офтальмологии / Vestnik Oftalmologii","Вестник офтальмологии / Vestnik Oftalmologii",NA,"PubMed,  Scopus","да","","","да","","","",""
410,"2219-3111","","Вестник Пермского университета. История / VESTNIK PERMSKOGO UNIVERSITETA- ISTORIYA-PERM UNIVERSITY HERALD- HISTORY","Вестник Пермского университета. История / VESTNIK PERMSKOGO UNIVERSITETA- ISTORIYA-PERM UNIVERSITY HERALD- HISTORY",NA,"WoS(ESCI)","","да","","","","","",""
411,"1994-3601","","Вестник Пермского университета. Серия Геология","Вестник Пермского университета. Серия Геология",NA,"GeoRef","","","","","","да","",""
412,"1995-4190","","Вестник Пермского университета. Юридические науки / VESTNIK PERMSKOGO UNIVERSITETA- JURIDICHESKIE NAUKI","Вестник Пермского университета. Юридические науки / VESTNIK PERMSKOGO UNIVERSITETA- JURIDICHESKIE NAUKI",NA,"WoS(ESCI)","","да","","","","","",""
413,"2224-9893","2226-1869","Вестник ПНИПУ. Механика (Вестник Пермского национального исследовательского политехнического университета. Механика) / PNRPU Mechanics Bulletin","Вестник ПНИПУ. Механика","(Вестник Пермского национального исследовательского политехнического университета. Механика)","Scopus","да","","","","","","",""
414,"1991-640X","2409-4692","Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1. Богословие. Философия / Vestnik Pravoslavnogo Sviato-Tikhonovskogo Gumanitarnogo Universiteta, Seria I. Bogoslovie, Filosofia, Religiovedenie","Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1. Богословие. Философия / Vestnik Pravoslavnogo Sviato-Tikhonovskogo Gumanitarnogo Universiteta, Seria I. Bogoslovie, Filosofia, Religiovedenie",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
415,"2070-7320","","Вестник Российского государственного медицинского университета (Вестник РГМУ) (*англ. Bulletin of Russian State Medical University)","Вестник Российского государственного медицинского университета","(Вестник РГМУ)","Scopus, WoS(ESCI)","да","да","","","","","",""
416,"1999-3633","","Вестник Российского государственного университета им. И. Канта","Вестник Российского государственного университета им. И. Канта",NA,"CA(pt)","","","да","","","","",""
417,"2312-8674","2312-8690","Вестник Российского университета дружбы народов. Серия История России / RUDN Journal of Russian History","Вестник Российского университета дружбы народов. Серия История России / RUDN Journal of Russian History",NA,"Scopus,WoS(ESCI)","да","да","","","","","",""
418,"2312-9182","2312-9212","Вестник Российского университета дружбы народов. Серия Лингвистика / Russian Journal of Linguistics / VESTNIK ROSSIISKOGO UNIVERSITETA DRUZHBY NARODOV-SERIYA LINGVISTIKA-RUSSIAN JOURNAL OF LINGUISTICS","Вестник Российского университета дружбы народов. Серия Лингвистика / Russian Journal of Linguistics / VESTNIK ROSSIISKOGO UNIVERSITETA DRUZHBY NARODOV-SERIYA LINGVISTIKA-RUSSIAN JOURNAL OF LINGUISTICS",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
419,"2313-0660","2313-0679","Вестник Российского университета дружбы народов. Серия: Международные отношения / Vestnik RUDN. International Relations","Вестник Российского университета дружбы народов. Серия: Международные отношения / Vestnik RUDN. International Relations",NA,"Scopus","да","","","","","","",""
420,"2313-2299","2411-1236","Вестник Российского университета дружбы народов. Серия: Теория языка. Семиотика. Семантика / RUDN Journal of Language Studies, Semiotics and Semantics","Вестник Российского университета дружбы народов. Серия: Теория языка. Семиотика. Семантика / RUDN Journal of Language Studies, Semiotics and Semantics",NA,"Scopus","да","","","","","","",""
